TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2015,6,6,16,42,10XX ROBSON ST,West End,491003.6991,5459012.8847
Other Theft,2015,1,16,16,10,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,4,7,12,3,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,4,8,14,47,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,5,28,16,29,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,7,1,12,41,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,7,6,14,35,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,8,21,13,34,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,10,20,12,30,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,10,24,16,39,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,11,27,18,15,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,12,20,12,39,10XX ROBSON ST,West End,491004.6735,5459024.7773
Other Theft,2015,6,17,17,40,10XX ROBSON ST,West End,491017.3314,5458999.4133
Other Theft,2015,6,18,0,0,10XX ROBSON ST,West End,491018.3058,5459011.3059
Other Theft,2015,9,20,18,0,10XX ROBSON ST,West End,491021.0323,5459008.6116
Other Theft,2015,1,8,10,10,10XX ROBSON ST,West End,491025.5108,5458991.3304
Other Theft,2015,5,4,16,0,10XX ROBSON ST,West End,491025.5108,5458991.3304
Other Theft,2015,11,5,18,26,10XX ROBSON ST,West End,491025.5108,5458991.3304
Other Theft,2015,11,12,13,15,10XX ROBSON ST,West End,491025.5108,5458991.3304
Other Theft,2015,6,9,12,39,10XX ROBSON ST,West End,491031.9381,5458997.8345
Other Theft,2015,7,8,8,30,10XX ROBSON ST,West End,491031.9381,5458997.8345
Other Theft,2015,2,24,19,41,10XX ROBSON ST,West End,491033.6902,5458983.2476
Other Theft,2015,4,2,15,42,10XX ROBSON ST,West End,491033.6902,5458983.2476
Other Theft,2015,11,14,15,21,10XX ROBSON ST,West End,491033.6902,5458983.2476
Other Theft,2015,6,2,14,14,10XX ROBSON ST,West End,491037.391,5458992.446
Other Theft,2015,6,25,10,10,10XX ROBSON ST,West End,491045.5704,5458984.3631
Other Theft,2015,6,25,18,2,10XX ROBSON ST,West End,491045.5704,5458984.3631
