TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2017,10,19,15,34,OAK ST / W 12TH AVE,Fairview,490780.0,5456437.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,28,12,54,OAK ST / W 26TH AVE,Shaughnessy,490715.0,5455049.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,27,20,9,OAK ST / W 33RD AVE,Shaughnessy,490695.0,5454303.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,11,16,17,40,OAK ST / W 41ST AVE,Shaughnessy,490676.0,5453477.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,2,9,13,3,OAK ST / W 57TH AVE,Marpole,490638.0,5451832.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,15,13,56,OAK ST / W 59TH AVE,Marpole,490587.0,5451600.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,16,4,28,OAK ST / W 64TH AVE,Marpole,490524.0,5451140.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,20,15,10,OAK ST / W 64TH AVE,Marpole,490524.0,5451140.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,7,12,7,19,OAK ST / W 67TH AVE,Marpole,490517.0,5450891.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,1,18,22,8,OAK ST / W BROADWAY AVE,Fairview,490787.0,5456745.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,9,11,9,38,OAK ST / W BROADWAY AVE,Fairview,490787.0,5456745.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,12,22,12,50,ONTARIO ST / E 16TH AVE,Riley Park,492363.0,5455990.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,8,6,22,24,ONTARIO ST / E 16TH AVE,Riley Park,492347.0,5455991.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,6,9,15,56,ONTARIO ST / E 6TH AVE,Mount Pleasant,492376.0,5456983.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,4,24,8,50,ONTARIO ST / E KING EDWARD AVE,Riley Park,492358.0,5455120.0
Vehicle Collision or Pedestrian Struck (with Injury),2017,5,20,11,32,ONTARIO ST / W 20TH AVE,Riley Park,492372.0,5455559.0
